TimeStamp	Ip Address	Core	CPU Usage
1550908860	195.168.0.234	0	32	
1550908920	195.168.0.234	0	47	
1550908980	195.168.0.234	0	83	
1550909040	195.168.0.234	0	60	
1550909100	195.168.0.234	0	77	
1550909160	195.168.0.234	0	5	
1550909220	195.168.0.234	0	76	
1550909280	195.168.0.234	0	82	
1550909340	195.168.0.234	0	75	
1550909400	195.168.0.234	0	66	
1550909460	195.168.0.234	0	79	
1550909520	195.168.0.234	0	73	
1550909580	195.168.0.234	0	8	
1550909640	195.168.0.234	0	4	
1550909700	195.168.0.234	0	62	
1550909760	195.168.0.234	0	11	
1550909820	195.168.0.234	0	73	
1550909880	195.168.0.234	0	6	
1550909940	195.168.0.234	0	95	
1550910000	195.168.0.234	0	37	
1550910060	195.168.0.234	0	76	
1550910120	195.168.0.234	0	39	
1550910180	195.168.0.234	0	58	
1550910240	195.168.0.234	0	17	
1550910300	195.168.0.234	0	38	
1550910360	195.168.0.234	0	51	
1550910420	195.168.0.234	0	90	
1550910480	195.168.0.234	0	73	
1550910540	195.168.0.234	0	52	
1550910600	195.168.0.234	0	39	
1550910660	195.168.0.234	0	7	
1550910720	195.168.0.234	0	33	
1550910780	195.168.0.234	0	30	
1550910840	195.168.0.234	0	56	
1550910900	195.168.0.234	0	59	
1550910960	195.168.0.234	0	83	
1550911020	195.168.0.234	0	77	
1550911080	195.168.0.234	0	81	
1550911140	195.168.0.234	0	95	
1550911200	195.168.0.234	0	21	
1550911260	195.168.0.234	0	8	
1550911320	195.168.0.234	0	44	
1550911380	195.168.0.234	0	40	
1550911440	195.168.0.234	0	43	
1550911500	195.168.0.234	0	57	
1550911560	195.168.0.234	0	49	
1550911620	195.168.0.234	0	8	
1550911680	195.168.0.234	0	90	
1550911740	195.168.0.234	0	88	
1550911800	195.168.0.234	0	91	
1550911860	195.168.0.234	0	17	
1550911920	195.168.0.234	0	44	
1550911980	195.168.0.234	0	76	
1550912040	195.168.0.234	0	73	
1550912100	195.168.0.234	0	72	
1550912160	195.168.0.234	0	71	
1550912220	195.168.0.234	0	61	
1550912280	195.168.0.234	0	27	
1550912340	195.168.0.234	0	91	
1550912400	195.168.0.234	0	45	
1550912460	195.168.0.234	0	98	
1550912520	195.168.0.234	0	95	
1550912580	195.168.0.234	0	64	
1550912640	195.168.0.234	0	27	
1550912700	195.168.0.234	0	10	
1550912760	195.168.0.234	0	42	
1550912820	195.168.0.234	0	46	
1550912880	195.168.0.234	0	25	
1550912940	195.168.0.234	0	9	
1550913000	195.168.0.234	0	68	
1550913060	195.168.0.234	0	36	
1550913120	195.168.0.234	0	67	
1550913180	195.168.0.234	0	31	
1550913240	195.168.0.234	0	100	
1550913300	195.168.0.234	0	45	
1550913360	195.168.0.234	0	26	
1550913420	195.168.0.234	0	8	
1550913480	195.168.0.234	0	78	
1550913540	195.168.0.234	0	3	
1550913600	195.168.0.234	0	6	
1550913660	195.168.0.234	0	52	
1550913720	195.168.0.234	0	73	
1550913780	195.168.0.234	0	26	
1550913840	195.168.0.234	0	38	
1550913900	195.168.0.234	0	69	
1550913960	195.168.0.234	0	60	
1550914020	195.168.0.234	0	72	
1550914080	195.168.0.234	0	8	
1550914140	195.168.0.234	0	97	
1550914200	195.168.0.234	0	57	
1550914260	195.168.0.234	0	83	
1550914320	195.168.0.234	0	64	
1550914380	195.168.0.234	0	16	
1550914440	195.168.0.234	0	36	
1550914500	195.168.0.234	0	6	
1550914560	195.168.0.234	0	72	
1550914620	195.168.0.234	0	43	
1550914680	195.168.0.234	0	39	
1550914740	195.168.0.234	0	61	
1550914800	195.168.0.234	0	59	
1550914860	195.168.0.234	0	89	
1550914920	195.168.0.234	0	84	
1550914980	195.168.0.234	0	74	
1550915040	195.168.0.234	0	75	
1550915100	195.168.0.234	0	61	
1550915160	195.168.0.234	0	21	
1550915220	195.168.0.234	0	89	
1550915280	195.168.0.234	0	43	
1550915340	195.168.0.234	0	91	
1550915400	195.168.0.234	0	45	
1550915460	195.168.0.234	0	19	
1550915520	195.168.0.234	0	67	
1550915580	195.168.0.234	0	61	
1550915640	195.168.0.234	0	24	
1550915700	195.168.0.234	0	28	
1550915760	195.168.0.234	0	27	
1550915820	195.168.0.234	0	48	
1550915880	195.168.0.234	0	11	
1550915940	195.168.0.234	0	31	
1550916000	195.168.0.234	0	85	
1550916060	195.168.0.234	0	47	
1550916120	195.168.0.234	0	14	
1550916180	195.168.0.234	0	21	
1550916240	195.168.0.234	0	100	
1550916300	195.168.0.234	0	21	
1550916360	195.168.0.234	0	42	
1550916420	195.168.0.234	0	31	
1550916480	195.168.0.234	0	37	
1550916540	195.168.0.234	0	77	
1550916600	195.168.0.234	0	43	
1550916660	195.168.0.234	0	69	
1550916720	195.168.0.234	0	61	
1550916780	195.168.0.234	0	45	
1550916840	195.168.0.234	0	19	
1550916900	195.168.0.234	0	90	
1550916960	195.168.0.234	0	62	
1550917020	195.168.0.234	0	88	
1550917080	195.168.0.234	0	88	
1550917140	195.168.0.234	0	56	
1550917200	195.168.0.234	0	9	
1550917260	195.168.0.234	0	94	
1550917320	195.168.0.234	0	37	
1550917380	195.168.0.234	0	37	
1550917440	195.168.0.234	0	76	
1550917500	195.168.0.234	0	100	
1550917560	195.168.0.234	0	27	
1550917620	195.168.0.234	0	13	
1550917680	195.168.0.234	0	17	
1550917740	195.168.0.234	0	90	
1550917800	195.168.0.234	0	66	
1550917860	195.168.0.234	0	42	
1550917920	195.168.0.234	0	64	
1550917980	195.168.0.234	0	46	
1550918040	195.168.0.234	0	88	
1550918100	195.168.0.234	0	87	
1550918160	195.168.0.234	0	40	
1550918220	195.168.0.234	0	11	
1550918280	195.168.0.234	0	64	
1550918340	195.168.0.234	0	62	
1550918400	195.168.0.234	0	61	
1550918460	195.168.0.234	0	74	
1550918520	195.168.0.234	0	65	
1550918580	195.168.0.234	0	54	
1550918640	195.168.0.234	0	59	
1550918700	195.168.0.234	0	63	
1550918760	195.168.0.234	0	16	
1550918820	195.168.0.234	0	94	
1550918880	195.168.0.234	0	42	
1550918940	195.168.0.234	0	10	
1550919000	195.168.0.234	0	80	
1550919060	195.168.0.234	0	99	
1550919120	195.168.0.234	0	43	
1550919180	195.168.0.234	0	9	
1550919240	195.168.0.234	0	9	
1550919300	195.168.0.234	0	81	
1550919360	195.168.0.234	0	28	
1550919420	195.168.0.234	0	95	
1550919480	195.168.0.234	0	38	
1550919540	195.168.0.234	0	40	
1550919600	195.168.0.234	0	78	
1550919660	195.168.0.234	0	100	
1550919720	195.168.0.234	0	92	
1550919780	195.168.0.234	0	51	
1550919840	195.168.0.234	0	50	
1550919900	195.168.0.234	0	26	
1550919960	195.168.0.234	0	6	
1550920020	195.168.0.234	0	83	
1550920080	195.168.0.234	0	15	
1550920140	195.168.0.234	0	17	
1550920200	195.168.0.234	0	77	
1550920260	195.168.0.234	0	91	
1550920320	195.168.0.234	0	45	
1550920380	195.168.0.234	0	68	
1550920440	195.168.0.234	0	4	
1550920500	195.168.0.234	0	26	
1550920560	195.168.0.234	0	14	
1550920620	195.168.0.234	0	39	
1550920680	195.168.0.234	0	71	
1550920740	195.168.0.234	0	86	
1550920800	195.168.0.234	0	80	
1550920860	195.168.0.234	0	10	
1550920920	195.168.0.234	0	7	
1550920980	195.168.0.234	0	45	
